symbol,period_ending,total_revenue,cost_of_revenue,gross_profit,research_and_development,"sales,_general_and_admin.",non-recurring_items,other_operating_items,operating_income,add'l_income/expense_items,earnings_before_interest_and_tax,interest_expense,earnings_before_tax,income_tax,minority_interest,equity_earnings/loss_unconsolidated_subsidiary,net_income-cont._operations,net_income,net_income_applicable_to_common_shareholders
a,31-10-2022,6848000,3126000,3722000,467000,1637000,215156,534329,1618000,-30000,1588000,84000,1504000,250000,75630,-32034,1254000,1254000,1254000
a,31-10-2021,6319000,2912000,3407000,441000,1619000,215156,534329,1347000,94000,1441000,81000,1360000,150000,75630,-32034,1210000,1210000,1210000
a,31-10-2020,5339000,2502000,2837000,495000,1496000,215156,534329,846000,74000,920000,78000,842000,123000,75630,-32034,719000,719000,719000
a,31-10-2019,5163000,2358000,2805000,404000,1460000,215156,534329,941000,52000,993000,74000,919000,-152000,75630,-32034,1071000,1071000,1071000
aa,31-12-2022,12451000,10212000,2239000,32000,204000,696000,617000,690000,118000,808000,106000,702000,664000,75630,-161000,-123000,-123000,-123000
aa,31-12-2021,12152000,9153000,2999000,31000,227000,1128000,664000,949000,445000,1394000,195000,1199000,629000,75630,-141000,429000,429000,429000
aa,31-12-2020,9286000,7969000,1317000,27000,206000,104000,653000,327000,-8000,319000,146000,173000,187000,75630,-156000,-170000,-170000,-170000
aa,31-12-2019,10433000,8537000,1896000,27000,280000,1031000,713000,-155000,-162000,-317000,121000,-438000,415000,75630,-272000,-1125000,-1125000,-1125000
AAC,31-12-2022,4885368,3188738,1963046,270736,7343,215156,534329,-7343,28326,20984,155791,20984,136211,75630,-32034,20984,20984,20984
AAC,31-12-2021,4885368,3188738,1963046,270736,6462,215156,534329,-6462,22311,15849,155791,15849,136211,75630,-32034,15849,15849,15849
AAC,31-12-2020,4885368,3188738,1963046,270736,14,215156,534329,-14,41948,-14,155791,-14,136211,75630,-32034,-14,-14,-14
AACG,31-12-2022,29751,15006,14745,977,21908,215156,534329,-8140,189,-7842,155791,-7842,-852,75630,101,-6889,-6889,-6889
AACG,31-12-2021,31727,15285,16443,1852,25008,215156,534329,-10417,4288,-5954,155791,-5954,-242,75630,433,-5280,-5280,-5280
AACG,31-12-2020,24797,15065,9732,1351,23436,1380,534329,-16435,-695,-16951,155791,-16951,-1570,75630,1282,-14098,-14098,-14098
AACG,31-12-2019,14036,8888,5147,1696,16574,3785,534329,-16907,-3843,-20280,155791,-20280,-1026,75630,1000,-19253,-17551,-17551
AACI,30-09-2022,4885368,3188738,1963046,270736,112,4391,534329,-4503,1026,-3477,155791,-3477,146,75630,-32034,-3623,-3623,-3623
AACI,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
AACIU,30-09-2022,4885368,3188738,1963046,270736,112,4391,534329,-4503,1026,-3477,155791,-3477,146,75630,-32034,-3623,-3623,-3623
AACIU,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
AACIW,30-09-2022,4885368,3188738,1963046,270736,112,4391,534329,-4503,1026,-3477,155791,-3477,146,75630,-32034,-3623,-3623,-3623
AACIW,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
AADI,31-12-2022,15216,1335,13881,32662,40176,3724,534329,-62681,2398,-60283,230,-60513,136211,75630,-32034,-60513,-60513,-60513
AADI,31-12-2021,1120,3188738,1120,19670,18511,74156,534329,-111217,1794,-109423,665,-110088,2,75630,-32034,-110090,-110090,-110737
AADI,31-12-2020,14580,3188738,14580,15008,2121,215156,534329,-2549,-112,-2661,815,-3476,2,75630,-32034,-3478,-3478,-4465
AADI,31-12-2019,4885368,3188738,1963046,12824,9756,1863,534329,-24444,1174,-23271,155791,-23271,136211,75630,-32034,-23271,-23271,-23271
AAIC,31-12-2022,27945,3188738,27945,270736,20988,6073,534329,6957,2587,31055,21511,9544,4118,75630,-32034,5426,5426,2642
AAIC,31-12-2021,17583,3188738,17583,270736,12333,629,534329,5250,-13199,257,8206,-7949,1566,75630,-32034,-9515,-9515,-12431
AAIC,31-12-2020,23098,3188738,23098,270736,12615,215156,534329,10483,-78199,-44800,22916,-67716,136211,75630,-32034,-67716,-67716,-70707
AAIC,31-12-2019,26560,3188738,26560,270736,15015,215156,534329,11545,2197,110992,97250,13742,136211,75630,-32034,13742,13742,11142
AAIN,31-12-2022,27945,3188738,27945,270736,20988,6073,534329,6957,2587,31055,21511,9544,4118,75630,-32034,5426,5426,2642
AAIN,31-12-2021,17583,3188738,17583,270736,12333,629,534329,5250,-13199,257,8206,-7949,1566,75630,-32034,-9515,-9515,-12431
AAIN,31-12-2020,23098,3188738,23098,270736,12615,215156,534329,10483,-78199,-44800,22916,-67716,136211,75630,-32034,-67716,-67716,-70707
AAIN,31-12-2019,26560,3188738,26560,270736,15015,215156,534329,11545,2197,110992,97250,13742,136211,75630,-32034,13742,13742,11142
AAL,31-12-2022,48971000,20600000,28371000,270736,24594000,193000,1977000,1607000,541000,2148000,1962000,186000,59000,75630,-32034,127000,127000,127000
AAL,31-12-2021,29882000,12815000,17067000,270736,20113000,-4006000,2019000,-1059000,311000,-748000,1800000,-2548000,-555000,75630,-32034,-1993000,-1993000,-1993000
AAL,31-12-2020,17337000,8332000,9005000,270736,18043000,-657000,2040000,-10421000,195000,-10226000,1227000,-11453000,-2568000,75630,-32034,-8885000,-8885000,-8885000
AAL,31-12-2019,45768000,15774000,29994000,270736,24312000,635000,1982000,3065000,286000,3351000,1095000,2256000,570000,75630,-32034,1686000,1686000,1686000
AAMC,31-12-2022,4965,3188738,4965,270736,12428,4862,534329,-13653,-1931,-14256,1328,-15584,350,75630,-32034,-15934,-15934,-15934
AAMC,31-12-2021,4885368,3188738,1963046,270736,9739,10793,534329,-20592,11502,-8884,60,-8944,3273,146,-32034,-12217,-6004,-6004
AAMC,31-12-2020,4885368,3188738,1963046,270736,15762,4748,534329,-20510,6559,-13951,155791,-13951,769,75630,-32034,-14720,39821,39779
AAMC,31-12-2019,4885368,3188738,1963046,270736,13701,3444,534329,-17145,6753,-10392,155791,-10392,165,75630,-32034,-10557,-2613,-2819
AAME,31-12-2022,187851,170169,17682,270736,932530,215156,13634,2096,41948,4048,1952,2096,571,75630,-32034,1525,1525,1126
AAME,31-12-2021,199554,179190,20364,270736,932530,215156,13675,5302,41948,6689,1387,5302,1021,75630,-32034,4281,4281,3882
AAME,31-12-2020,195348,166687,28661,270736,932530,215156,11548,15503,41948,17113,1610,15503,3334,75630,-32034,12169,12169,11770
AAME,31-12-2019,198179,184702,13477,270736,932530,215156,11754,-407,41948,1723,2130,-407,-21,75630,-32034,-386,-386,-785
AAN,31-12-2022,2249434,1087661,1161773,270736,1006491,157830,534329,-2548,-2320,-4868,9875,-14743,-9463,75630,-32034,-5280,-5280,-5280
AAN,31-12-2021,1845504,686015,1159489,270736,936634,77106,534329,145749,1581,147330,1460,145870,35936,75630,-32034,109934,109934,109934
AAN,31-12-2020,1734919,651377,1083542,270736,916501,553079,534329,-386038,-1770,-387808,10006,-397814,-131902,75630,-32034,-265912,-265912,-265912
AAOI,31-12-2022,222818,189191,33627,36244,56381,215156,534329,-58998,-1079,-60077,6319,-66396,1,75630,-32034,-66397,-66397,-66397
AAOI,31-12-2021,211565,173850,37715,41220,53261,215156,534329,-56766,8226,-48540,5620,-54160,2,75630,-32034,-54162,-54162,-54162
AAOI,31-12-2020,234623,184082,50541,43393,55990,215156,534329,-48842,3253,-45589,5635,-51224,7228,75630,-32034,-58452,-58452,-58452
AAOI,31-12-2019,190872,144671,46201,43399,51549,215156,534329,-48747,2765,-45982,5405,-51387,14662,75630,-32034,-66049,-66049,-66049
AAON,31-12-2022,888788,651216,237572,270736,110823,215156,534329,126761,411,124533,155791,124533,24157,75630,-32034,100376,100376,100376
AAON,31-12-2021,534517,396687,137830,270736,68598,215156,534329,69253,82,69182,155791,69182,10424,75630,-32034,58758,58758,58758
AAON,31-12-2020,514551,358702,155849,270736,60491,215156,534329,101836,6529,101975,155791,101975,22966,75630,-32034,79009,79009,79009
AAON,31-12-2019,469333,349908,119425,270736,52077,215156,534329,67011,-383,67031,155791,67031,13320,75630,-32034,53711,53711,53711
AAP,31-12-2022,11154722,6192622,4962100,270736,4247949,215156,534329,714151,-14404,699747,51060,648687,146815,75630,-32034,501872,501872,501872
AAP,01-01-2022,10997989,6069241,4928748,270736,4090031,215156,534329,838717,4999,843716,37791,805925,189817,75630,-32034,616108,616108,616108
AAP,02-01-2021,10106321,5624707,4481614,270736,3731707,215156,534329,749907,-52006,697901,46886,651015,157994,75630,-32034,493021,493021,493021
AAP,28-12-2019,9709003,5454257,4254746,270736,3577566,215156,534329,677180,464,677644,39898,637746,150850,75630,-32034,486896,486896,486896
AAPL,24-09-2022,394328000,223546000,170782000,26251000,25094000,215156,534329,119437000,-334000,119103000,155791,119103000,19300000,75630,-32034,99803000,99803000,99803000
AAPL,25-09-2021,365817000,212981000,152836000,21914000,21973000,215156,534329,108949000,258000,109207000,155791,109207000,14527000,75630,-32034,94680000,94680000,94680000
AAPL,26-09-2020,274515000,169559000,104956000,18752000,19916000,215156,534329,66288000,803000,67091000,155791,67091000,9680000,75630,-32034,57411000,57411000,57411000
AAPL,28-09-2019,260174000,161782000,98392000,16217000,18245000,215156,534329,63930000,1807000,65737000,155791,65737000,10481000,75630,-32034,55256000,55256000,55256000
AAT,31-12-2022,422648,152433,270215,270736,32143,215156,123338,114734,-625,114109,58232,55877,136211,75630,-12371,43506,43506,43506
AAT,31-12-2021,375828,129774,246054,270736,29879,215156,116306,99869,-4689,95180,58587,36593,136211,75630,-8217,28376,28376,28376
AAT,31-12-2020,344573,121119,223454,270736,26581,215156,108292,88581,447,89028,53440,35588,136211,75630,-7928,27660,27660,27660
AAT,31-12-2019,366741,131980,234761,270736,24871,215156,96205,113685,511,114196,54008,60188,136211,75630,-14470,45718,45718,45718
AAU,31-12-2022,4885368,31,-31,270736,3636,215156,89,-3757,-3616,-7373,381,-7753,990,75630,-32034,-8743,-8743,-8743
AAU,31-12-2021,4885368,32,-32,270736,4211,215156,109,-4353,2812,-1541,323,-1864,249,75630,-32034,-2112,-2112,-2112
AAU,31-12-2020,4885368,36,-36,270736,3338,215156,111,-3484,1336,-2148,308,-2456,136211,75630,-32034,-2456,-2456,-2456
AAU,31-12-2019,4885368,31,-31,270736,3090,215156,112,-3233,523,-2710,192,-2902,136211,75630,-32034,-2902,-2902,-2902
AB,31-12-2022,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,31339,305504,-32034,274165,274165,274165
AB,31-12-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,30483,416326,-32034,385843,385843,385843
AB,31-12-2020,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,29024,308404,-32034,279380,279380,279380
AB,31-12-2019,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,27729,266292,-32034,238563,238563,238563
ABBV,31-12-2022,58054000,17414000,40640000,6510000,15316000,697000,534329,18117000,-2596000,15521000,2044000,13477000,1632000,75630,-9000,11836000,11836000,11836000
ABBV,31-12-2021,56197000,17446000,38751000,6922000,12781000,1124000,534329,17924000,-2551000,15373000,2384000,12989000,1440000,75630,-7000,11542000,11542000,11542000
ABBV,31-12-2020,45804000,15387000,30417000,6379000,11299000,1376000,534329,11363000,-5685000,5678000,2280000,3398000,-1224000,75630,-6000,4616000,4616000,4616000
ABBV,31-12-2019,33266000,7439000,25827000,6407000,6052000,385000,534329,12983000,-3048000,9935000,1509000,8426000,544000,75630,-32034,7882000,7882000,7882000
ABCB,31-12-2022,1178310,56105,1963046,270736,523260,17651,91441,478735,41948,489853,36755,453098,106558,75630,-32034,346540,346540,346540
ABCB,31-12-2021,1068656,22357,1963046,270736,529033,16126,-20400,478735,41948,521540,25428,496112,119199,75630,-32034,376913,376913,376913
ABCB,31-12-2020,1173003,59067,1963046,270736,561654,17363,164992,478735,41948,369927,29683,340244,78256,75630,-32034,261988,261988,261988
ABCB,31-12-2019,834507,102533,1963046,270736,370485,83739,37471,478735,41948,240279,28695,211584,50143,75630,-32034,161441,161441,161441
ABCL,31-12-2022,485424,3188738,485424,107879,66755,66436,27843,216511,26633,243144,4045,239099,80580,75630,-32034,158519,158519,158519
ABCL,31-12-2021,375203,3188738,375203,62062,48761,45516,14451,204413,20816,225229,6080,219149,65685,75630,-32034,153464,153464,153464
ABCL,31-12-2020,233155,3188738,233155,29393,15752,27143,4836,156031,8613,164644,6811,157833,38915,75630,-32034,118918,118918,118918
ABCL,31-12-2019,11612,3188738,11612,10113,4012,215156,1604,-4117,2115,-2002,209,-2211,136211,75630,-32034,-2211,-2211,-2211
ABCM,31-12-2022,435100,109700,325400,67500,270100,215156,534329,-12100,500,-11700,7100,-18800,-8500,75630,-32034,-10200,-10200,-10200
ABCM,31-12-2021,427200,123000,304200,37700,256900,215156,534329,9600,400,10100,3700,6400,400,75630,-32034,6000,6000,6000
ABCM,31-12-2020,201600,58600,143000,18700,100600,215156,534329,23600,300,23900,2600,21300,3800,75630,-32034,17500,17500,17500
ABCM,30-06-2020,321300,98600,222700,47300,162500,215156,534329,12900,900,13800,3500,10300,-5200,75630,-32034,15400,15400,15400
ABEO,31-12-2022,1414,3188738,1414,28965,17256,6108,534329,-50915,11955,-38960,736,-39696,136211,75630,-32034,-39696,-39696,-43478
ABEO,31-12-2021,3000,3188738,3000,38726,21644,32466,534329,-89836,8556,-81280,3656,-84936,136211,75630,-32034,-84936,-84936,-84936
ABEO,31-12-2020,10000,3188738,10000,30139,23779,32916,4586,-81420,1301,-80119,4115,-84234,136211,75630,-32034,-84234,-84234,-84234
ABEO,31-12-2019,4885368,3188738,1963046,48566,20705,215156,7819,-77090,1208,-75882,400,-76282,136211,75630,-32034,-76282,-76282,-76282
ABEV,31-12-2022,15097100,7656100,7441000,270736,4090900,215156,534329,3350100,846500,4191100,1494800,2696300,-124200,-5500,-32034,2814900,2820400,2820400
ABEV,31-12-2021,13079800,6402100,6677700,270736,3611300,215156,534329,3066500,399000,3444700,974500,2470200,114300,-20800,-32034,2335200,2355900,2355900
ABEV,31-12-2020,11239300,5210800,6028400,270736,2953500,215156,534329,3075000,576800,3643500,1045500,2598000,339300,-8300,-32034,2250300,2258700,2258700
ABEV,31-12-2019,12927900,5389000,7538900,270736,3542900,215156,534329,3996000,407400,4397900,1180400,3217500,187600,-5500,-32034,3024400,3029900,3029900
ABG,31-12-2022,15433800,12333300,3100600,270736,1759000,215156,69000,1272600,207100,1479700,160600,1319100,321800,75630,-32034,997300,997300,997300
ABG,31-12-2021,9837700,7935500,1902200,270736,1068500,215156,41900,791800,8000,799800,102100,697700,165300,75630,-32034,532400,532400,532400
ABG,31-12-2020,7131800,5908400,1223400,270736,791100,23000,38500,370800,41700,412600,74500,338100,83800,75630,-32034,254300,254400,254400
ABG,31-12-2019,7210300,6041400,1168900,270736,800600,7100,36200,325000,11700,336700,92800,243900,59500,75630,-32034,184400,184400,184400
ABIO,31-12-2022,4885368,3188738,1963046,4749,5847,215156,534329,-10596,670,-9926,155791,-9926,136211,75630,-32034,-9926,-9926,-9926
ABIO,31-12-2021,4885368,3188738,1963046,13832,5503,215156,534329,-19335,13,-19322,155791,-19322,136211,75630,-32034,-19322,-19322,-19322
ABIO,31-12-2020,4885368,3188738,1963046,4992,4774,215156,534329,-9766,28,-9738,9,-9747,-9,75630,-32034,-9738,-9738,-9738
ABIO,31-12-2019,4885368,3188738,1963046,1833,3981,215156,534329,-5814,172,-5642,7,-5649,-167,75630,-32034,-5482,-5482,-5482
ABL,31-12-2022,4885368,3188738,1963046,270736,932530,11722,534329,-11722,11131,-591,155791,-591,52,75630,-32034,-644,-644,-644
ABL,31-12-2021,4885368,3188738,1963046,270736,932530,1383,534329,-1383,17222,15839,155791,15839,136211,75630,-32034,15839,15839,15839
ABLLW,31-12-2022,4885368,3188738,1963046,270736,932530,11722,534329,-11722,11131,-591,155791,-591,52,75630,-32034,-644,-644,-644
ABLLW,31-12-2021,4885368,3188738,1963046,270736,932530,1383,534329,-1383,17222,15839,155791,15839,136211,75630,-32034,15839,15839,15839
ABLV,31-12-2022,4885368,3188738,1963046,270736,196,215156,534329,-196,795,599,155791,599,136211,75630,-32034,599,599,599
ABLV,31-12-2021,4885368,3188738,1963046,270736,43,215156,534329,-43,41948,-43,155791,-43,136211,75630,-32034,-43,-43,-43
ABLVW,31-12-2022,4885368,3188738,1963046,270736,196,215156,534329,-196,795,599,155791,599,136211,75630,-32034,599,599,599
ABLVW,31-12-2021,4885368,3188738,1963046,270736,43,215156,534329,-43,41948,-43,155791,-43,136211,75630,-32034,-43,-43,-43
ABM,31-10-2022,7806600,3188738,7806600,270736,7385800,215156,72100,348800,41948,351100,41100,310000,79600,2400,-32034,230400,230400,230400
ABM,31-10-2021,6228600,3188738,6228600,270736,5977400,215156,45000,206300,41948,208400,28600,179800,53500,2100,-32034,126300,126300,126300
ABM,31-10-2020,5987600,3188738,5987600,270736,5663100,180400,48400,95700,41948,97900,44600,53300,53100,2200,-32034,200,300,300
ABM,31-10-2019,6498600,3188738,6498600,270736,6220400,11200,58500,208300,41948,211300,51100,160200,32700,3000,-32034,127500,127400,127400
ABNB,31-12-2022,8399000,1499000,6900000,1502000,3507000,89000,534329,1802000,211000,2013000,24000,1989000,96000,75630,-32034,1893000,1893000,1893000
ABNB,31-12-2021,5992000,1156000,4836000,1425000,2869000,113000,534329,429000,-291000,138000,438000,-300000,52000,75630,-32034,-352000,-352000,-352000
ABNB,31-12-2020,3378000,876000,2502000,2753000,3188000,151000,534329,-3590000,-920000,-4510000,172000,-4682000,-97000,75630,-32034,-4585000,-4585000,-4585000
ABNB,31-12-2019,4805239,1196313,3608926,976695,3133774,215156,534329,-501543,99808,-401735,9968,-411703,262636,75630,-32034,-674339,-674339,-674339
ABOS,31-12-2022,4885368,3188738,1963046,32361,12876,215156,534329,-45237,2381,-42856,155791,-42856,136211,75630,-32034,-42856,-42856,-42856
ABOS,31-12-2021,4885368,3188738,1963046,12305,7279,215156,534329,-19584,-81022,-100606,155791,-100606,136211,75630,-32034,-100606,-100606,-100606
ABOS,31-12-2020,1436,3188738,1436,7997,1351,215156,534329,-7912,587,-7325,155791,-7325,136211,75630,-32034,-7325,-7325,-7325
ABR,31-12-2022,228277,2136,226141,270736,215815,215156,8732,1594,913087,919614,557617,361997,17484,14247,-28044,325783,325783,284829
ABR,31-12-2021,333148,718,332430,270736,217371,215156,7215,107844,493686,604904,212005,392899,46285,34567,-38507,339300,339300,317412
ABR,31-12-2020,264259,4898,259361,270736,181728,215156,7640,69993,259612,333151,169216,163935,40393,76161,-25208,170949,170949,163395
ABR,31-12-2019,219845,10220,209625,270736,162431,1000,7510,38684,307354,353477,186399,167078,15036,10635,-26610,128628,128628,121074
ABSI,31-12-2022,5747,3188738,5747,58908,40552,215156,13037,-106750,2357,-104393,972,-105365,-461,75630,-32034,-104904,-104904,-104904
ABSI,31-12-2021,4782,3188738,4782,44586,28780,215156,6654,-75238,-31189,-106427,3432,-109859,-8899,75630,-32034,-100960,-100960,-103244
ABSI,31-12-2020,4780,3188738,4780,11448,5502,215156,1131,-13301,-418,-13719,634,-14353,136211,75630,-32034,-14353,-14353,-49469
ABT,31-12-2022,43653000,19142000,24511000,2888000,11248000,215156,2013000,8362000,502000,8864000,558000,8306000,1373000,75630,-32034,6933000,6933000,6933000
ABT,31-12-2021,43075000,18537000,24538000,2742000,11324000,215156,2047000,8425000,319000,8744000,533000,8211000,1140000,75630,-32034,7071000,7071000,7071000
ABT,31-12-2020,34608000,15003000,19605000,2420000,9696000,215156,2132000,5357000,157000,5514000,546000,4968000,497000,75630,-32034,4471000,4495000,4495000
ABT,31-12-2019,31904000,13231000,18673000,2440000,9765000,215156,1936000,4532000,215000,4747000,670000,4077000,390000,75630,-32034,3687000,3687000,3687000
ABUS,31-12-2022,39019,3188738,39019,84408,20067,215156,534329,-65456,2170,-63286,1726,-65012,4444,75630,-32034,-69456,-69456,-69456
ABUS,31-12-2021,10988,3188738,10988,65502,19008,215156,534329,-73522,132,-73390,2857,-76247,136211,75630,-32034,-76247,-76247,-88386
ABUS,31-12-2020,6914,3188738,6914,49338,15382,215156,534329,-57806,617,-59734,4011,-63745,136211,-2545,-32034,-66290,-63745,-75868
ABUS,31-12-2019,6011,3188738,6011,57601,23976,66307,2028,-143901,2152,-164271,2108,-166379,-12656,-22522,-32034,-176245,-153723,-164872
ABVC,31-12-2022,970,286,683,2693,13104,215156,534329,-15114,-106,-15221,294,-15515,798,75630,-111,-16423,-16423,-16423
ABVC,31-12-2021,356,5,351,1004,11053,215156,534329,-11706,992,-10984,227,-11211,825,-270,-803,-13109,-12839,-12839
ABVC,31-12-2020,483,19,464,550,8420,215156,534329,-8506,-734,-10409,405,-10814,-220,-1169,802,-10960,-9791,-9791
ABVC,31-12-2019,702,20,682,1049,3092,215156,534329,-3459,141,-3528,482,-4010,-77,-210,291,-3852,-3642,-3642
AC,31-12-2022,15012,3188738,15012,270736,26490,7607,534329,-11478,-48987,-60249,216,-60465,-14943,75630,-3385,-48907,-48907,-48907
AC,31-12-2021,20614,3188738,20614,270736,40000,7117,534329,-19386,100725,81649,310,81339,17705,75630,-4431,59203,59203,59203
AC,31-12-2020,18803,3188738,18803,270736,31452,8915,534329,-12649,42532,30063,180,29883,9374,75630,-1061,20509,18816,18816
AC,31-12-2019,21989,3188738,21989,270736,35465,5942,534329,-13476,70699,57439,216,57223,12627,75630,-3518,44596,39188,39188
ACA,31-12-2022,2242800,1820000,422800,270736,262800,215156,534329,349000,187200,347200,31000,316200,70400,75630,-32034,245800,245800,245800
ACA,31-12-2021,2036400,1670200,366200,270736,256000,2900,534329,107300,-300,107000,23400,83600,14000,75630,-32034,69600,69600,69600
ACA,31-12-2020,1935600,1553600,382000,270736,223100,7100,534329,151800,-3000,148800,10600,138200,31600,75630,-32034,106600,106600,106600
ACA,31-12-2019,1736900,1404500,332400,270736,179500,215156,534329,152900,700,153600,6800,146800,33500,75630,-32034,113300,113300,113300
ACAB,31-12-2022,4885368,3188738,1963046,270736,932530,2050,534329,-2050,3761,1711,155791,1711,824,75630,-32034,887,887,887
ACAB,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACABW,31-12-2022,4885368,3188738,1963046,270736,932530,2050,534329,-2050,3761,1711,155791,1711,824,75630,-32034,887,887,887
ACABW,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACAC,31-12-2022,4885368,3188738,1963046,270736,56,658,534329,-714,1166,451,155791,451,234,75630,-32034,217,217,217
ACAC,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACACU,31-12-2022,4885368,3188738,1963046,270736,56,658,534329,-714,1166,451,155791,451,234,75630,-32034,217,217,217
ACACU,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACACW,31-12-2022,4885368,3188738,1963046,270736,56,658,534329,-714,1166,451,155791,451,234,75630,-32034,217,217,217
ACACW,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACAD,31-12-2022,517235,10166,507069,361575,369090,215156,534329,-223596,10152,-213444,155791,-213444,2531,75630,-32034,-215975,-215975,-215975
ACAD,31-12-2021,484145,19141,465004,239415,396028,215156,534329,-170439,2920,-167519,155791,-167519,351,75630,-32034,-167870,-167870,-167870
ACAD,31-12-2020,441755,20550,421205,319130,388661,215156,534329,-286586,5613,-280973,155791,-280973,611,75630,-32034,-281584,-281584,-281584
ACAD,31-12-2019,339076,19598,319478,240385,325638,215156,534329,-246545,12162,-234383,155791,-234383,876,75630,-32034,-235259,-235259,-235259
ACAX,30-11-2022,4885368,3188738,1963046,270736,690,215156,534329,-690,990,300,155791,300,187,75630,-32034,114,114,114
ACAX,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACAXR,30-11-2022,4885368,3188738,1963046,270736,690,215156,534329,-690,990,300,155791,300,187,75630,-32034,114,114,114
ACAXR,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACAXU,30-11-2022,4885368,3188738,1963046,270736,690,215156,534329,-690,990,300,155791,300,187,75630,-32034,114,114,114
ACAXU,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACAXW,30-11-2022,4885368,3188738,1963046,270736,690,215156,534329,-690,990,300,155791,300,187,75630,-32034,114,114,114
ACAXW,07-01-2021,4885368,3188738,1963046,270736,932530,215156,534329,478735,41948,605476,155791,462104,136211,75630,-32034,367173,362415,356400
ACB,31-03-2023,129285,128712,573,3636,98572,4166,11022,-116823,-25000,-141823,21869,-163692,-11259,75630,-32034,-152433,-152433,-152433
ACB,30-06-2022,171587,155133,16454,8054,146513,3635,37677,-179425,-1098382,-1277807,55671,-1333478,-1660,75630,-32034,-1331818,-1331818,-1331818
ACB,30-06-2021,198055,215465,-17409,9244,157375,4652,39711,-228392,-283085,-511476,53652,-565128,-5105,75630,-32034,-560023,-561325,-561325
ACB,30-06-2020,197286,211922,-14637,19109,253857,4767,49614,-341984,-2054212,-2396196,55885,-2452081,-60378,75630,-32034,-2391703,-2429780,-2429780
ACBA,31-12-2022,4885368,3188738,1963046,270736,932530,839,534329,-839,1923,1084,155791,1084,136211,75630,-32034,1084,1084,1084
ACBA,31-12-2021,4885368,3188738,1963046,270736,932530,1024,534329,-1024,22,-1003,155791,-1003,136211,75630,-32034,-1003,-1003,-1003
ACBA,31-12-2020,4885368,3188738,1963046,270736,932530,16,534329,-16,41948,-16,155791,-16,136211,75630,-32034,-16,-16,-16
ACBAW,31-12-2022,4885368,3188738,1963046,270736,932530,839,534329,-839,1923,1084,155791,1084,136211,75630,-32034,1084,1084,1084
ACBAW,31-12-2021,4885368,3188738,1963046,270736,932530,1024,534329,-1024,22,-1003,155791,-1003,136211,75630,-32034,-1003,-1003,-1003
ACBAW,31-12-2020,4885368,3188738,1963046,270736,932530,16,534329,-16,41948,-16,155791,-16,136211,75630,-32034,-16,-16,-16
ACCD,28-02-2023,363142,198905,164237,101347,180322,299705,46377,-463514,-15,-463274,155791,-463274,-3624,75630,-32034,-459650,-459650,-459650
ACCD,28-02-2022,310021,169019,141002,83664,140455,215156,42608,-125725,-133,-128763,155791,-128763,-5639,75630,-32034,-123124,-123124,-123124
ACCD,28-02-2021,170358,93673,76685,49955,65295,215156,8212,-46777,-147,-50648,155791,-50648,4,75630,-32034,-50652,-50652,-50652
ACCD,29-02-2020,132507,73685,58822,42306,56204,215156,8516,-48204,-107,-48311,2925,-51236,129,75630,-32034,-51365,-51365,-51365
ACCO,31-12-2022,1947600,1395300,552300,270736,367700,108300,41500,34800,25700,60500,45600,14900,28100,75630,-32034,-13200,-13200,-13200
ACCO,31-12-2021,2025300,1410400,614900,270736,411600,6000,46300,151000,6700,157700,46300,111400,9500,75630,-32034,101900,101900,101900
ACCO,31-12-2020,1655200,1162800,492400,270736,336300,10900,32800,112400,5000,117400,38800,78600,16600,75630,-32034,62000,62000,62000
