symbol,period_ending,total_revenue,cost_of_revenue,gross_profit,research_and_development,"sales,_general_and_admin.",non-recurring_items,other_operating_items,operating_income,add'l_income/expense_items,earnings_before_interest_and_tax,interest_expense,earnings_before_tax,income_tax,minority_interest,equity_earnings/loss_unconsolidated_subsidiary,net_income-cont._operations,net_income,net_income_applicable_to_common_shareholders
STVN,31-12-2020,810039,572454,237585,21278,90148,215156,534329,126160,18376,144535,26732,117803,21635,75630,-32034,96168,96168,96168
STVN,31-12-2019,602271,447341,154930,8785,76303,215156,534329,69843,8693,78535,17118,61417,17968,75630,-32034,43449,43449,43449
STWD,31-12-2022,181137,199666,-18529,270736,223471,3400,49293,-294693,1971674,1794659,797121,997538,-61523,117678,-187586,987968,871475,871475
STWD,31-12-2021,324629,279440,45189,270736,180345,1184,83001,-219341,994438,946182,445087,501095,8669,171085,-44687,611396,447739,447739
STWD,31-12-2020,329800,244803,84997,270736,201865,3572,94405,-214845,905311,806041,419763,386278,20197,115575,-34392,443610,331689,331689
STWD,31-12-2019,395777,242114,153663,270736,164603,1056,113322,-125318,1049259,1058896,508729,550167,13232,134955,-27271,625349,509664,509664
STX,30-06-2023,7384000,6033000,1351000,797000,791000,102000,3000,-342000,159000,-183000,313000,-496000,33000,75630,-32034,-529000,-529000,-529000
STX,01-07-2022,11661000,8192000,3469000,941000,559000,3000,11000,1955000,-27000,1928000,249000,1679000,30000,75630,-32034,1649000,1649000,1649000
STX,02-07-2021,10681000,7764000,2917000,903000,502000,8000,12000,1492000,76000,1568000,220000,1348000,34000,75630,-32034,1314000,1314000,1314000
STX,03-07-2020,10509000,7667000,2842000,973000,473000,82000,14000,1300000,-67000,1233000,201000,1032000,28000,75630,-32034,1004000,1004000,1004000
STXS,31-12-2022,28147,9677,18470,10558,26688,215156,534329,-18776,41948,-18292,155791,-18292,136211,75630,-32034,-18292,-18292,-19635
STXS,31-12-2021,35021,11789,23232,10199,25921,215156,534329,-12888,2183,-10716,155791,-10716,136211,75630,-32034,-10716,-10716,-12061
STXS,31-12-2020,26630,7664,18966,8137,17543,215156,534329,-6714,41948,-6646,155791,-6646,136211,75630,-32034,-6646,-6646,-8016
STXS,31-12-2019,28903,6136,22766,9021,18572,215156,534329,-4827,236,-4591,155791,-4591,136211,75630,-32034,-4591,-4591,-6021
STZ,28-02-2023,9452600,4683600,4769000,270736,1926100,215156,534329,2842900,-24200,782300,398700,383600,422100,-2036400,-32500,-2107400,-71000,-71000
STZ,28-02-2022,8820700,4113400,4707300,270736,1709700,665900,534329,2331700,-29400,666800,356400,310400,309400,-1635500,-41400,-1675900,-40400,-40400
STZ,28-02-2021,8614900,4148900,4466000,270736,1674900,215156,534329,2791100,-12800,2928600,385700,2542900,511100,150300,-33800,2148300,1998000,1998000
STZ,29-02-2020,8343500,4191600,4151900,270736,1621800,449700,534329,2154500,71700,-516500,428700,-945200,-966600,-2668600,-33200,-2680400,-11800,-11800
SU,31-12-2022,43054000,16566000,26488000,270736,9452000,41000,6484000,10510000,64000,10574000,1484000,9090000,2390000,75630,-32034,6699000,6699000,6699000
SU,31-12-2021,30980000,12089000,18891000,270736,8998000,37000,4631000,5224000,178000,5404000,994000,4410000,1149000,75630,-32034,3261000,3261000,3261000
SU,31-12-2020,19358000,8370000,10988000,270736,7688000,146000,7477000,-4323000,319000,-4004000,782000,-4786000,-1396000,75630,-32034,-3390000,-3390000,-3390000
SU,31-12-2019,29569000,10799000,18770000,270736,8671000,197000,8153000,1749000,692000,2441000,488000,1953000,-282000,75630,-32034,2236000,2236000,2236000
SUI,31-12-2022,2934500,1519100,1415400,270736,299000,215156,604800,511600,-7900,508100,234000,274100,6100,200,-21800,242000,242000,242000
SUI,31-12-2021,2260400,1109300,1151100,270736,184900,215156,522700,443500,130600,582200,162800,419400,1300,3800,-33600,380200,380200,380200
SUI,31-12-2020,1388200,613900,774300,270736,133400,215156,376900,264000,15800,285000,133300,151700,-800,100,-15800,131600,131600,131600
SUI,31-12-2019,1246180,547240,698940,270736,94514,215156,328067,276359,38370,331234,137851,193383,873,1374,-15826,161553,161553,160265
SUM,31-12-2022,2412522,1763177,649345,270736,190218,215156,200450,269047,189780,448457,86969,361488,85545,75630,-3798,272145,272145,272145
SUM,01-01-2022,2409669,1736410,673259,270736,196728,215156,229366,253065,43712,290877,92240,198637,44356,75630,-2097,152184,152184,152184
SUM,02-01-2021,2332451,1710654,621797,270736,182873,215156,221320,225173,15046,232650,103595,129055,-12185,75630,-3273,137967,137967,137967
SUM,28-12-2019,2222140,1646016,576124,270736,156129,215156,217102,213558,-8160,194733,116509,78224,17101,75630,-2057,59066,59066,59066
SUN,31-12-2022,25729000,24350000,1379000,270736,521000,215156,193000,678000,14000,683000,182000,501000,26000,4000,-32034,479000,475000,475000
SUN,31-12-2021,17596000,16246000,1350000,270736,438000,215156,177000,749000,-22000,717000,163000,554000,30000,4000,-32034,528000,524000,524000
SUN,31-12-2020,10710000,9654000,1056000,270736,448000,215156,189000,417000,-13000,411000,175000,236000,24000,5000,-32034,217000,212000,212000
SUN,31-12-2019,16596000,15380000,1216000,270736,501000,215156,183000,464000,-65000,469000,173000,296000,-17000,2000,-32034,315000,313000,313000
SUNW,31-12-2022,161935,90621,71314,270736,95724,215156,3799,-28209,264,-27945,172,-28117,94,75630,-32034,-28211,-28211,-28211
SUNW,31-12-2021,101154,60372,40782,270736,61320,5464,3222,-29224,2980,-26244,381,-26625,136211,75630,-32034,-26625,-26625,-26625
SUNW,31-12-2020,37913,29902,8011,270736,18909,4000,337,-15235,10,-15225,714,-15939,136211,75630,-32034,-15939,-15939,-15999
